名次,昵称,总分,最后提交时间
1,欢迎参加明年十月份中科大第九届信安大赛,4384,2021/11/17 10:05
2,4qwerty7,3505,2021/11/19 20:50
3,thezzisu,3272,2021/11/19 11:29
4,Ferric,2949,2021/11/20 10:51
5,debugger,2809,2021/11/19 3:07
6,taoky # 好吃就是高兴,2749,2021/11/18 23:18
7,amgisn,2738,2021/11/20 10:14
8,阿巴阿巴,2708,2021/11/19 19:33
9,砸瓦鲁多,2369,2021/11/20 11:55
10,_,2250,2021/11/18 5:10
11,lrh2000,2177,2021/11/18 11:36
12,genuine,2078,2021/11/18 18:11
13,vincent163,2016,2021/11/17 18:01
14,DF4D0155,2005,2021/11/18 13:21
15,Q1IQ,1802,2021/11/18 10:41
16,RannRu,1731,2021/11/20 1:13
17,AkechiSatori,1721,2021/11/19 16:10
18,cutecat,1721,2021/11/20 11:08
19,goodgame,1710,2021/11/20 10:07
20,OwO,1683,2021/11/18 0:13
21,y,1671,2021/11/19 9:55
22,Testla,1566,2021/11/18 21:30
23,intlsy,1487,2021/11/20 11:50
24,米米 👑⭐️,1471,2021/11/20 11:48
25,thrfirs,1434,2021/11/19 23:33
26,Rainshaw,1401,2021/11/19 18:12
27,mariodon,1394,2021/11/19 10:46
28,fIa9{pp},1331,2021/11/18 14:16
29,feifeiobama,1320,2021/11/19 4:13
30,Marvin,1307,2021/11/18 20:31
31,ZelKnow,1287,2021/11/18 21:47
32,Dev-XYS,1268,2021/11/18 11:33
33,outerform,1266,2021/11/20 3:04
34,PFPF,1242,2021/11/17 14:49
35,RikukiIX,1220,2021/11/20 0:03
36,wwzzj,1184,2021/11/18 22:24
37,ZM.J,1181,2021/11/16 21:33
38,Cinnabar,1169,2021/11/20 6:25
39,喵 | miaotony.xyz,1157,2021/11/18 20:42
40,Mr.YAO,1127,2021/11/19 14:13
41,七海辣辣米_Nana7mi,1066,2021/11/20 11:48
42,風的影子🥦🐶,1060,2021/11/18 13:38
43,willyywt,1052,2021/11/19 8:52
44,lucifer1004,1027,2021/11/20 11:44
45,Lysithea,924,2021/11/19 22:12
46,yescallop,901,2021/11/18 12:36
47,shisanli,879,2021/11/17 18:31
48,Hoo,792,2021/11/19 10:09
49,You酱,766,2021/11/18 12:03
50,Eric-Atlantis,754,2021/11/20 5:33
51,hylz,749,2021/11/19 17:33
52,王村ssr,740,2021/11/19 0:55
53,NONG 农大,738,2021/11/19 17:34
54,HNYuuu,725,2021/11/16 15:12
55,kingkong,722,2021/11/19 22:47
56,yy469312306,711,2021/11/18 1:57
57,宮園かをり,697,2021/11/18 1:28
58,Jack Ren,684,2021/11/14 22:00
59,A.Karios,676,2021/11/18 19:33
60,zealot,663,2021/11/19 18:08
61,立言（威海实验高中）,645,2021/11/16 20:58
62,TheShy来全刷了,624,2021/11/18 19:20
63,cs,615,2021/11/16 16:52
64,kant,605,2021/11/20 11:02
65,zhn,603,2021/11/18 14:45
66,开学聊w,593,2021/11/19 23:16
67,tl2cents,591,2021/11/18 15:21
68,hack@kali,562,2021/11/17 10:11
69,Antreas,559,2021/11/15 13:01
70,crazyman,547,2021/11/17 9:02
71,某蛋,535,2021/11/20 9:00
72,zhangboyang,488,2021/11/15 6:02
73,12f23eddde,477,2021/11/19 10:04
74,WCjrCK,474,2021/11/18 9:50
75,Biden,462,2021/11/19 23:34
76,Carpek,454,2021/11/18 23:47
77,水帝WaterKing（坐等掉榜）,444,2021/11/19 15:20
78,LiangMaxwell,433,2021/11/16 14:42
79,宝硕|baoshuo.ren|石家庄二中,433,2021/11/18 17:20
80,有德无才,424,2021/11/18 18:50
81,hw,419,2021/11/14 16:52
82,FantasqueX,409,2021/11/17 14:45
83,XXXX,409,2021/11/17 17:32
84,DylanWR,358,2021/11/18 15:41
85,In5an1ty,358,2021/11/19 15:06
86,gcc,335,2021/11/15 9:11
87,miaomiaomao,326,2021/11/18 14:22
88,Eden326,321,2021/11/14 1:07
89,tAL1Ta1L,321,2021/11/16 10:13
90,莫然more,314,2021/11/15 12:15
91,m1r4n,314,2021/11/15 13:24
92,th31nk,314,2021/11/15 20:34
93,xiaoji,302,2021/11/19 17:22
94,哆啦一泓,295,2021/11/16 23:18
95,leavelet,284,2021/11/14 20:47
96,黄白猫猫,284,2021/11/15 17:16
97,NPC,281,2021/11/14 22:16
98,CeoxNim,281,2021/11/18 0:03
99,ehz,273,2021/11/14 12:05
100,捉虫师,273,2021/11/14 16:04
