名次,昵称,总分,最后提交时间
1,thezzisu,3272,2021/11/19 11:29
2,Ferric,2949,2021/11/20 10:51
3,debugger,2809,2021/11/19 3:07
4,阿巴阿巴,2708,2021/11/19 19:33
5,砸瓦鲁多,2369,2021/11/20 11:55
6,_,2250,2021/11/18 5:10
7,genuine,2078,2021/11/18 18:11
8,vincent163,2016,2021/11/17 18:01
9,DF4D0155,2005,2021/11/18 13:21
10,Q1IQ,1802,2021/11/18 10:41
11,RannRu,1731,2021/11/20 1:13
12,cutecat,1721,2021/11/20 11:08
13,goodgame,1710,2021/11/20 10:07
14,y,1671,2021/11/19 9:55
15,intlsy,1487,2021/11/20 11:50
16,米米 👑⭐️,1471,2021/11/20 11:48
17,thrfirs,1434,2021/11/19 23:33
18,Rainshaw,1401,2021/11/19 18:12
19,feifeiobama,1320,2021/11/19 4:13
20,Marvin,1307,2021/11/18 20:31
21,ZelKnow,1287,2021/11/18 21:47
22,Dev-XYS,1268,2021/11/18 11:33
23,outerform,1266,2021/11/20 3:04
24,RikukiIX,1220,2021/11/20 0:03
25,wwzzj,1184,2021/11/18 22:24
26,Cinnabar,1169,2021/11/20 6:25
27,Mr.YAO,1127,2021/11/19 14:13
28,七海辣辣米_Nana7mi,1066,2021/11/20 11:48
29,willyywt,1052,2021/11/19 8:52
30,lucifer1004,1027,2021/11/20 11:44
31,Lysithea,924,2021/11/19 22:12
32,shisanli,879,2021/11/17 18:31
33,hylz,749,2021/11/19 17:33
34,王村ssr,740,2021/11/19 0:55
35,HNYuuu,725,2021/11/16 15:12
36,kingkong,722,2021/11/19 22:47
37,宮園かをり,697,2021/11/18 1:28
38,A.Karios,676,2021/11/18 19:33
39,TheShy来全刷了,624,2021/11/18 19:20
40,zhn,603,2021/11/18 14:45
41,开学聊w,593,2021/11/19 23:16
42,Antreas,559,2021/11/15 13:01
43,zhangboyang,488,2021/11/15 6:02
44,12f23eddde,477,2021/11/19 10:04
45,Biden,462,2021/11/19 23:34
46,Carpek,454,2021/11/18 23:47
47,水帝WaterKing（坐等掉榜）,444,2021/11/19 15:20
48,hw,419,2021/11/14 16:52
49,DylanWR,358,2021/11/18 15:41
50,In5an1ty,358,2021/11/19 15:06
51,miaomiaomao,326,2021/11/18 14:22
52,Eden326,321,2021/11/14 1:07
53,哆啦一泓,295,2021/11/16 23:18
54,leavelet,284,2021/11/14 20:47
55,黄白猫猫,284,2021/11/15 17:16
56,CeoxNim,281,2021/11/18 0:03
57,ehz,273,2021/11/14 12:05
58,捉虫师,273,2021/11/14 16:04
59,house_fz,273,2021/11/14 17:07
60,YipHonsam,273,2021/11/15 15:45
61,xxkk,273,2021/11/16 15:44
62,oldtrash,273,2021/11/18 8:29
63,不是赛棍的混子,186,2021/11/14 16:52
64,圣嘉然之力,182,2021/11/13 17:18
65,ZCX,145,2021/11/13 13:37
66,Arbitrary,145,2021/11/13 14:04
67,csgk,145,2021/11/13 14:47
68,shiro,145,2021/11/13 15:49
69,Zensuang,145,2021/11/13 17:18
70,suwakow,145,2021/11/13 17:36
71,离谱烦,145,2021/11/13 20:13
72,顶碗人在哪里,145,2021/11/13 21:09
73,zyx,145,2021/11/13 21:22
74,Cekavis,145,2021/11/13 22:51
75,littleTT,145,2021/11/14 1:15
76,bling,145,2021/11/14 2:41
77,dx,145,2021/11/14 9:45
78,test12345,145,2021/11/14 10:11
79,Xtuz,145,2021/11/14 16:10
80,什么都不会的大橙子,145,2021/11/15 9:25
81,tetrahedron,145,2021/11/15 13:58
82,PekXuing,145,2021/11/15 20:42
83,新手,145,2021/11/16 17:04
84,许十一,145,2021/11/17 20:53
85,bear,139,2021/11/17 20:44
86,Spiridempt,109,2021/11/18 12:09
87,Ryo,109,2021/11/18 13:01
88,futurez,109,2021/11/18 14:57
89,Garchomp,109,2021/11/18 20:51
90,EagleMD,109,2021/11/18 23:24
91,我好菜啊,98,2021/11/13 14:48
92,frostian,98,2021/11/13 14:56
93,江户川闰土,98,2021/11/13 16:07
94,青卿,98,2021/11/15 4:03
95,PKUSucks,98,2021/11/16 17:04
96,tbw1033,98,2021/11/16 19:00
97,sponge,98,2021/11/16 19:18
98,隔壁派来的间谍' OR 1=1 ; --,84,2021/11/13 13:31
99,liuyh,47,2021/11/13 12:41
100,ZZ,47,2021/11/13 13:17
